id,province,name,Latitude,Longitude,Type,Name_Type,Year
17925,Henan,Wangfuzhai Protestant Management Group,34.802099,114.328553,1,Protestantism,1988
17926,Henan,Suntoumen Protestant Management Group,34.802099,114.328553,1,Protestantism,1983
17927,Henan,Yanzhai Protestant Management Group,34.802099,114.328553,1,Protestantism,1988
17928,Henan,He'nan Buddhist Study Society,34.796559,114.365316,30,Buddhism,1925
17929,Henan,Kaifeng City Islamic Association,34.796559,114.365316,5,Islam,1983
17930,Henan,Kaifeng City Buddhist Association,34.788389,114.361059,30,Buddhism,1994
17931,Henan,Wenshu Temple Management Committee,34.796559,114.365316,3,Buddhism,1921
17932,Henan,Beida Mosque,34.807373,114.366812,5,Islam,1919
17933,Henan,Wangjiahutong Mosque,34.796559,114.365316,5,Islam,1983
17934,Henan,Hongheyan Mosque,34.796559,114.365316,5,Islam,1986
17935,Henan,Nanjiaojing Alley Mosque,34.796559,114.365316,5,Islam,1985
17936,Henan,Hongheyan Women's Mosque,34.796559,114.365316,5,Islam,1983
17937,Henan,Songmenguan Mosque,34.796559,114.365316,5,Islam,1911
17938,Henan,Beimendajie Protestant Church,34.796559,114.365316,1,Protestantism,1991
17939,Henan,Beimendajie Mosque,34.796559,114.365316,5,Islam,1920
17940,Henan,Kaifeng North Grand Mosque Management Committee,34.796559,114.365316,5,Islam,1949
17941,Henan,Kaifeng East Grand Mosque,34.796559,114.365316,5,Islam,1978
17942,Henan,Wangjia Alley Women's Mosque,34.796559,114.365316,5,Islam,1983
17943,Henan,Catholic Church of Holy Family,34.796559,114.365316,2,Catholicism,1994
17944,Henan,Kaifeng City Protestant Church Association,34.789864,114.355072,10,Protestantism,1951
17945,Henan,Xiangguo Temple Office,34.790165,114.354461,3,Buddhism,1992
17946,Henan,Kaifeng City Protestant Three-self Patriotic Movement Committee,34.789864,114.355072,10,Protestantism,1951
17947,Henan,Beiguanzhuang Protestant Church,34.847794,114.333584,1,Protestantism,1991
17948,Henan,Changshang Mosque,34.8028,114.448,5,Islam,1962
17949,Henan,Liuzhuang Protestant Church,34.885516,114.327854,1,Protestantism,1993
17950,Henan,Nanbeidi Protestant Management Group,34.879026,114.263057,1,Protestantism,1983
17951,Henan,Qizhai Protestant Management Office,34.849157,114.440923,1,Protestantism,1983
17952,Henan,Zhangzhuang Mosque,34.880693,114.368882,5,Islam,1992
17953,Henan,Matou Catholic Church,34.730169,114.429234,2,Catholicism,1985
17954,Henan,Changshang Protestant Management Group,34.8028,114.448,1,Protestantism,1983
17955,Henan,Daguotun Protestant Church,34.765783,114.350804,1,Protestantism,1988
17956,Henan,Shien Protestant Church,34.765783,114.350804,1,Protestantism,1993
17957,Henan,Mazhuang Protestant Management Group,34.871135,114.30269,1,Protestantism,1987
17958,Henan,Niuzhuang Protestant Church,34.854072,114.364242,1,Protestantism,2003
17959,Henan,Huihuizhai Mosque,34.858219,114.214685,5,Islam,1985
17960,Henan,Yanwuzhuang Protestant Management Group,34.812464,114.297203,1,Protestantism,1988
17961,Henan,Luodi Protestant Management Group,34.837881,114.254399,1,Protestantism,1989
17962,Henan,Wangtun Protestant Management Group,34.749934,114.416457,1,Protestantism,1995
17963,Henan,Zhangwan Protestant Management Group,34.871496,114.327214,1,Protestantism,1983
17964,Henan,Damaquan Protestant Church,34.884955,114.318904,1,Protestantism,1991
17965,Henan,Baita Protestant Church,34.774329,114.401438,1,Protestantism,1983
17966,Henan,Wuniangzhuang Village Protestant Church Management Group,34.796107,114.39672,1,Protestantism,1985
17967,Henan,Meizhuang Village Church,34.881231,114.360581,1,Protestantism,1999
17968,Henan,Ligong Temple,34.496413,114.683922,3,Buddhism,1999
17969,Henan,Chenzhuang Church,34.727867,114.824638,1,Protestantism,1988
17970,Henan,Xihe Protestant Church,34.577114,114.765741,1,Protestantism,2001
17971,Henan,Xihezhai Catholic Church,34.583123,114.679405,2,Catholicism,2004
17972,Henan,Caozhai Protestant Church,34.610964,114.674103,1,Protestantism,1996
17973,Henan,Wangguji Protestant Church,34.506693,114.617746,1,Protestantism,1988
17974,Henan,Qi County Catholic Patriotic Association,34.552895,114.783264,20,Catholicism,1993
17975,Henan,Gaoyang Town Protestant Church,34.703746,114.807742,1,Protestantism,1996
17976,Henan,Mintun Protestant Church,34.597491,114.688289,1,Protestantism,2000
17977,Henan,Xiyun Church,34.565497,114.690888,1,Protestantism,1998
17978,Henan,Zhangbei Village Protestant Church,34.570446,114.659997,1,Protestantism,1999
17979,Henan,Dongkong Village Protestant Church,34.583123,114.679405,1,Protestantism,1999
17980,Henan,Shiyuan Protestant Church,34.631331,114.802184,1,Protestantism,1992
17981,Henan,Gegang Protestant Church,34.582873,114.678728,1,Protestantism,1991
17982,Henan,Huhou Village Mosque,34.392151,114.688064,5,Islam,2001
17983,Henan,Qi County Protestant Three-self Patriotic Movement Committee,34.586327,114.674144,10,Protestantism,1980
17984,Henan,Hongmiao Town Mosque,34.703746,114.807742,5,Islam,1932
17985,Henan,Caoliwang Church,34.331294,114.6308,1,Protestantism,1999
17986,Henan,Yuhuangmiao Town Protestant Three-self Patriotic Movement Committee,34.283858,114.588318,1,Protestantism,2004
