province,Latitude,Longitude
Yunnan,23.123987,99.801327
Yunnan,22.212189,99.841525
Yunnan,23.005007,100.112152
Yunnan,22.467295,100.231013
Yunnan,23.123023,99.818987
Yunnan,23.123987,99.801327
Yunnan,23.005007,100.112152
Yunnan,23.079737,99.842758
Yunnan,22.940018,99.736136
Yunnan,23.058577,99.815695
Yunnan,23.123023,99.818987
Yunnan,22.972894,100.257535
Yunnan,22.261344,99.801849
Yunnan,22.346011,99.7902
Yunnan,23.123023,99.818987
Yunnan,22.456547,99.80776
Yunnan,23.079737,99.842758
Yunnan,22.218478,99.703358
Yunnan,22.214278,100.044571
Yunnan,22.802186,99.92259
Yunnan,23.071995,99.595831
Yunnan,22.555445,99.93459
Yunnan,23.184863,99.840113
Yunnan,22.212189,99.841525
Yunnan,22.417413,99.800137
Yunnan,22.261344,99.801849
Yunnan,23.058577,99.815695
Yunnan,23.123023,99.818987
Yunnan,23.184863,99.840113
Yunnan,22.972894,100.257535
Yunnan,22.331247,99.973086
Yunnan,22.456547,99.80776
Yunnan,23.079737,99.842758
Yunnan,22.261344,99.801849
Yunnan,22.769694,99.901663
Yunnan,22.200709,100.028293
Yunnan,23.123987,99.801327
Yunnan,22.077425,99.764753
Yunnan,23.170399,99.897635
Yunnan,23.123023,99.818987
Yunnan,22.755882,100.176355
Yunnan,22.417413,99.800137
Yunnan,22.218478,99.703358
Yunnan,22.4975,99.907408
Yunnan,23.1984,99.731367
Yunnan,22.912623,99.719133
Yunnan,23.123357,99.827241
Yunnan,23.044502,99.834725
Yunnan,22.218478,99.703358
Yunnan,22.556174,99.684935
Yunnan,22.927479,100.165517
Yunnan,23.044502,99.834725
Yunnan,22.912623,99.719133
Yunnan,23.216236,99.720399
Yunnan,23.184863,99.840113
Yunnan,23.209691,99.707272
Yunnan,22.261344,99.801849
Yunnan,22.331247,99.973086
Yunnan,22.261344,99.801849
Yunnan,23.058577,99.815695
Yunnan,23.1984,99.731367
Yunnan,23.184863,99.840113
Yunnan,22.331247,99.973086
Yunnan,23.123023,99.818987
Yunnan,23.184863,99.840113
Yunnan,22.500937,99.634482
Yunnan,22.50766,99.891018
Yunnan,22.214278,100.044571
Yunnan,22.50766,99.891018
Yunnan,22.218478,99.703358
Yunnan,23.047088,99.8433
Yunnan,23.123023,99.818987
Yunnan,22.394601,99.92721
Yunnan,23.047088,99.8433
Yunnan,22.218478,99.703358
Yunnan,23.123987,99.801327
Yunnan,22.258872,99.871847
Yunnan,22.261344,99.801849
Yunnan,22.500937,99.634482
Yunnan,23.1984,99.731367
Yunnan,23.123987,99.801327
Yunnan,22.46992,99.752109
Yunnan,22.121745,99.832666
Yunnan,22.218478,99.703358
Yunnan,22.912623,99.719133
Yunnan,23.123987,99.801327
Yunnan,23.123023,99.818987
Yunnan,23.214639,99.670597
Yunnan,22.417413,99.800137
Yunnan,23.123023,99.818987
Yunnan,23.216236,99.720399
Yunnan,22.792601,100.193255
Yunnan,23.047088,99.8433
Yunnan,23.147311,99.721693
Yunnan,23.123023,99.818987
Yunnan,22.36592,99.95555
Yunnan,22.927479,100.165517
Yunnan,22.394601,99.92721
Yunnan,23.058577,99.815695
Yunnan,22.218478,99.703358
Yunnan,22.633652,99.609486
Yunnan,22.864079,99.610237
Yunnan,22.633652,99.609486
Yunnan,22.633652,99.609486
Yunnan,22.633652,99.609486
Yunnan,22.633652,99.609486
Yunnan,23.878012,100.095681
Yunnan,23.887889,100.087653
Yunnan,23.629442,100.105155
Yunnan,23.903932,100.100889
Yunnan,23.879088,100.087524
Yunnan,23.955105,100.075302
Yunnan,23.878012,100.095681
Yunnan,24.580424,99.92846
Yunnan,24.580424,99.92846
Yunnan,24.597073,99.921084
Yunnan,24.4395,100.1339
Yunnan,24.4395,100.1339
Yunnan,24.135157,100.256869
Yunnan,24.4395,100.1339
Yunnan,24.456097,100.292919
Yunnan,24.087489,99.369902
Yunnan,24.119889,99.372999
Yunnan,24.054431,99.203833
Yunnan,24.026486,99.251753
Yunnan,23.995378,99.239555
